"Folio","Timestamp","Score","X14..Usted.ahorra.o.recicla.el.agua.","X14.pt.2...Como.y.porque","X19..Considera.que.en.su.hogar.invierten.mucho.tiempo.a.mas.del.que.a.usted.le.gustaria..en.administrar.el.agua..","X19.CAT","X20..Ha.ayudado.otras.personas.a.obtener.agua.","X21..Le.han.ayudado.otras.personas.a.conseguir.agua.","additional.comments."
309,"11/19/2024 11:10:02 | 1/21/2026 13:00:32",NA,"Si","A veces a sus hijos les educa para no tirar. La que lava en lavadora la usa para el patio o excusado. Los trastes los enjuagaba y luego los enjuaga.","Siempre esta al pendiente si llego o cuanta llega porque si no se queda sin agua.","other ??? ","Si, a sus vecinos. ","Si, a veces le prestan agua. Poca para las actividades y necesidades del bano y los trastes.  ",NA
310,"11/19/2024 12:59:04 | 1/21/2026 13:03:30",NA,"No. No le da tiempo tiene que trabajar.",NA,"Si en lo que se llena el tinaco y para hervir el agua.","si","Cuando van a conseguir el agua, van todas las vecinas mujeres ","So, su vecina tiene cisterna, le da agua cuando le sobra ",NA
311,"11/19/2024 12:59:25 | 1/21/2026 13:04:54",NA,"Si","El agua con la que lava la reutiliza para el bano. Porque no hay mucha agua.","Si tienen que estar al pendiente de que caiga agua y de que se llenen sus contenedores. ","si","No","No",NA
312,"11/19/2024 13:09:18 | 1/21/2026 13:06:35",NA,"Si","Cuando lavan el agua la usan para el bano o patio.","No","no","Si, cuando no hay le regala a sus vecinos ","Si, las que tiene cisterna (vecinos) le regalan ",NA
313,"11/19/2024 13:10:24 | 1/21/2026 13:07:49",NA,"No",NA,"No","no","No  | No","No  | No",NA
314,"11/19/2024 13:11:46 | 1/21/2026 13:09:50",NA,"Si","Cuando trapea el agua sobrante para el bano. Porque dice que ""nos vamos a quedar sin agua.""","Si, interrumpe actividades importantes y requiere esfuerzo fisico.","si","Si, antes en su colonia eran los unicos con cisterna y le daban a los vecinos. Todavia algunos vecinos le piden agua. ","No",NA
315,"11/19/2024 13:16:55 | 1/21/2026 13:12:32",NA,"Si","Solo cuando sabe que no hay. Usan poca para lavar trastes. Regadera > cubetas > bano (Siempre). Piensa que es muy desperdiciada. Reusa agua de ropa blanca a ropa de color. No tira. ","Le parece poco el tiempo. No es tanto tiempo pero ella no es quien lo hace.","no","Si les piden cubeta --> 1 vez al ano. (Ya no es comun). Ya casi todas las casas tiene cisternas o tinaco. Antes, hermana o sobrino --> tienen capas de llenar ahora. ","No, van por pipa ",NA
316,"11/19/2024 13:18:50 | 1/21/2026 13:15:04",NA,"Si"," Cuando lava ropa utiliza el agua sobrante para lavar al perro y su patio. Si no no alcanza, prefiere gastar el agua en banarse . Seria un desperdicio no utilizar esa agua.","Si lo normal seria que les llegaran por lo menos 3 dias a la semana. ","si","Si, los vecinos llenan sus cisternas con el agua que le sobra a ella ","Si, un dia que no tienen para banarse un vecinos le dio 2 botes ",NA
317,"11/19/2024 14:00:58 | 1/21/2026 13:16:40",NA,"Si.","Cuando lavan reciclan el agua para el bano. Lo hacen para no gastar el agua que esta limpia.","No ella siente que no invierte mucho tiempo.","no","No seguido. Pero en 2 ocasiones si. Le paso a su vecina dos botes de agua. ","Hasta ahorita no, no ha sido necesario ",NA
318,"11/19/2024 14:03:17 | 1/21/2026 13:18:27",NA,"Si","Cuando lava aparta el agua con la que lava. Utiliza esa agua para el bano. Porque a veces no hay agua es un desperdicio echar el agua limpia al bano.","No, no es mucho tiempo.","no","No","Si, cuando se forman para pedir pipas ",NA
319,"11/19/2024 14:05:57 | 1/21/2026 13:24:49",NA,"Si ahorran.","No lavan de diario una vez por semana. Lava ropa hijo y suya luego reusa agua para ropa de esposo. Cuando no hay reciclan de lavadora, plantas y el bano. Lavan el patio con cubeta para trapear. ","Les parece poco el tiempo que invierten. Ahora esta bien pero antes perdian pipa lejos y habian filas enormes. Ahora es mejor. No es cansado. Politica de alcadia antes era mas caro. ","no","Si, vecinos en equina les falta much agua. A veces por esperar a tiempo --> pueden pedir pipa les pasa par de cuebtas. ","No, 2 personas por pipa ",NA
320,"11/19/2024 14:06:53 | 1/21/2026 13:28:24",NA,"Si","Cuando lavan ropa la usan para el bano tambien. La usan para lavar el patio. Y tambien la usan para echar el excusado.","Le parece bien el tiempo. ","no","Si, a sus vecinos. Cuando se les termina les da botes. ","No ",NA
321,"11/19/2024 14:14:00 | 1/21/2026 13:33:41",NA,"Si","A veces cuando lava la ropa es agua la hecha al bano o para lavar el patio.","Le parece que es poco tiempo.","no","Si, si necesitan agua sus vecinos le comparte de su agua ","Si, vecinos cuando le comparten. O a veces cuando han pedido pipas, o no va el fuma. Se por ella y anota a los demas por no perder tanto tiempo todos. Entre vecinos se hechan la mano. ",NA
322,"11/19/2024 14:20:00 | 1/21/2026 13:49:20",NA,"Si ","El agua que cae de la regadera la recolecta cuando trapean la usan para el bano tambien. Tiene que organizarse con mucho detalle para lavar. Incluso es sus dias de descanso.","No hay respuesta.","other","Si, veces le dan agua a vecinos. ","Si, vecinos tambien le dan agua. ",NA
323,"11/19/2024 14:20:28 | 1/21/2026 13:51:33",NA,"Si ","Cuando lavan usan el agua para trapear o lavar patios. Cuando llueve la usan para plantas y para limpiar.","Le parece poco (bien) el tiempo que usan en esas tareas.","no","No","No",NA
324,"11/19/2024 14:21:17 | 1/21/2026 13:56:18",NA,"Si","Cuando terminan de banar la usan para el bano. En semana santa almacenan. Tratan de no gastar mucha.","Poco, le parece bien.","a bit","No","No",NA
325,"11/19/2024 14:25:06 | 1/21/2026 13:57:41",NA,"Si","Si le sobra agua le da pasadas al bano. O si le sobra del agua que uso para banarse la echa al excusado.","Poco, le parece bien.","a bit","Si, compartirles agua sus vecinos cuando no tienen. ","Si, de otras casas otros vecinos. Vecinos que tienen cisternas le regalan agua. ",NA
326,"11/19/2024 14:32:34 | 1/21/2026 14:06:56",NA,"Si","No hay espacio no tienen cubetas. Banarse a jicarazos ahorran tambien, quedo como costumbre. Regadera si funciona pero es tiempo mas gasto. Aprenden a banarse asi no es (palabra desconocida). Lava ropa 1 vez por semana (cada quien) tarda menos de 1 hora. Lava a mano, enjuaga y usa lavadora para (palabra desconocida). Bano ajustado para que no se llene el W.C completo. Ahorrar agua tiene impacto economico. Gastan menos, mama, hija en colonia sin agua. No dejan la llave abierta.  ","Poco le parece bien. Son afortunados senor de garrafon pasa en la noche (11 pm). ","a bit","Nunca","No. Cisterna comunitario. Situacion muy privilegiada. Acceso fácil.",NA
327,"11/19/2024 14:33:02 | 1/21/2026 14:12:22",NA,"Si","Ropa >lavar patio. Usan agua de lluvia. Suben agua dos veces al dia si no hay mucha. Normal 1 dia y medio.  ","Poco, le parece bien. Unos 10 minutos.","a bit","No","No",NA
328,"1/29/2025 15:23:22 | 1/21/2026 14:14:49",NA,"Si.","Si les lleha no hacen, cuando falta lavan ropa > piso, y bano. ","Poco, le parece bien. Se levanta a las 8 am, abre llave a las 9. Se turnan para hacerlo (adultos) lavan patio.","a bit","A otras, vecinos. Pasan un bote.","Vecinos. Pasan un bote. Hijo se bana para ir a la escuela.",NA
329,"1/29/2025 15:25:00 | 1/21/2026 14:19:12",NA,"Si","Lavadora > bano a veces. Ahora lo hacen un poquito mas porque no llega agua al inodoro. Antes lo hacian por ahorrar. Plantas las acomodan para que se rieguen abajo. Plantas ya no se riegan tanto, ahora se marchitaron.","Ya se acostumbro. Es algo que tiene que hacer. Una tarea mas. Antes si tenian que cambiar, les tomaba mas tiempo checar muchas veces.","other","No, pero comparten agua de pipe vecino.","Si, ayudaron cuando se corto un mes. Abuela materna se fueron a banar al estado de Mexico.",NA
330,"1/29/2025 15:27:40 | 1/21/2026 14:33:00",NA,"No todo es automatico. Lavadora > agua se tira.",NA,"Es mas tiempo del que le gustaria. Es mas pesado y complicado estar sacando agua. Sacan unos 5 botes al dia.","si","Si, a vecinos. Cuatro o cinco veces al mes. Les llenan botes. A veces tienen que decir que no. Se ponen de acuerdo para pedir pipe.","Cuando sobran pipes a otros. Iba a casa del suegro a banarse, treinta min en carro.",NA
331,"1/29/2025 15:29:20 | 1/28/2026 12:18:20",NA,"Si","Usa la ropa de la lavadora al bano. A los ninos chiquitos los bana y luego la agua la usa para el bano o para los cuartos para no desperdiciar.","Le parece bien muy poco tiempo. ","no","Si, vecinos. Pasan cubeta. Yo casi no falta. Cunada viene a banarse.","Vecinos, cubetas.",NA
332,"1/29/2025 15:41:26 | 1/28/2026 12:20:52",NA,"Si","Lava ropa luego usa agua para el patio. No tienen tambo para poder captar agua de la lluvia.","Al principio les molestaban y a otras familias. Ahora ya adapto a los tiempos. ","other","Si, pasaron manguera para que tuvieran H2O. Pasaron manguera a vecino de al frente. Solo una vez. 2017 no corta.","Mama sin agua. Fueron a bomba a traer bote. Hijo mayor subio en banqueta. Ellos prestan carros y agua. Hace 2 semanas. Y su mama e hijos notaron que en recepcion tengo tiempo.",NA
333,"1/29/2025 15:44:57 | 1/28/2026 12:28:54",NA,"Si ","Reutiliza el agua cuando lava y de los trastes para el bano. Cpta agua de lluvia. Porque el agua de la pipa no es suficiente para 11 departamentos. ","Es mas tiempo del que le gustaria. Es tedioso.","si","Si. Su vecino le pasa agua. | Si. A su vecino le pasa agua. ","Si. Viene a lavar con la abuela de su hija a la calle donde vive su suegra. | Si viene a lavar con la abuela de su hija a la calle donde vive su suegra. ",NA
334,"2/3/2025 8:34:28 | 1/28/2026 12:30:17",NA,"Si","Cuando lava la sobrante la utiliza para lavar el bano, para no tirarla. ","Le parece poco. No se dedica solo a recolectar el agua. Hace otras cosas.","no","No  | No","No  | No",NA
335,"2/3/2025 8:36:28 | 1/28/2026 12:35:53",NA,"Si","La agua de la lavadora la usan para lavar el patio. (Palabra desconocida). No les alcanzaría si no lo hicieran. Viven en (palabra desconocida). No alcanza a subir","Le parece poco el tiempo.","no","No  | No","No  | No",NA
336,"2/3/2025 8:48:06 | 1/28/2026 12:37:22",NA,"Si","Ahorrar no dejar abierta no gastar tanta. No desperdicia. La agua de la lavadora la usa para lavar el patio.","Le parece poco el tiempo.","no","No  | No","No  | No",NA
337,"2/3/2025 8:50:37 | 1/28/2026 12:43:36",NA,"Si ","Reusa la agua de la lavadora la pone en botes luego la usa para lavar el patio> Siempre. Cuando escazea: Se bana el agua que cae la colecta en cubetas para el bano. Usaron agua de la lluvia para el baño 2 años atrás. ","Es más tiempo del que le gustaría. Se tarda en llenar la (palabra desconocida) hasta 1, 5 horas.","si","No. Amiga lavo en su casa, 1.5 anos atras. | No amiga lavo en su casa 1,5 anos atras.","Si, vecinos de atras. Cubeta. | Si vecinos de atrás (cubetas). Una vez (palabra desconocida) pipa y manguera no les alcanzaban, se quedaron sin agua.  ",NA
338,"2/3/2025 8:56:23 | 1/28/2026 12:45:55",NA,"No?","Lava ropa > suavitel > guardan en botes y la usan en patio o para trapear. Ahorran agua y suavitel.","Le parece poco el tiempo.","no","Si. Hermano, nino en colonia lejo. Fue a banarse y lavo ropa. | No","No | NO",NA
339,"2/3/2025 8:59:34 | 1/28/2026 12:52:08",NA,"Si","Lava ropa luego lava bano o lava patio. Para contener agua y se acostumbro.","Le parece poco el tiempo. Le parece bien/normal.","no","Cuando estuvieron sin agua, vecino le pidio un bote. | Cuando estuvieron sin agua, vecina le pidio un bote.","No  | No",NA
340,"2/3/2025 9:10:31 | 1/28/2026 12:54:03",NA,"Si","El agua cuando lava la reutiliza para el baño y el patio. Para ahorrar agua. ","Le parece poco el tiempo. Le parece bien.","no","No","Una vez les acarrieron agua a su casa porque no tenian. Fue despues del sismo del 19 de sep 2017. Una semana sin agua.",NA
341,"2/3/2025 9:13:02 | 1/28/2026 12:56:37",NA,"Si","El agua que sale de la lavadora para los banos. Trata de ahorrar el agua en sus tareas. Porque hay escasez.","Le parece poco el tiempo. Le parece bien.","no","No  | No","No  | No",NA
342,"2/3/2025 9:23:51 | 1/28/2026 13:00:00",NA,"Si","Cuando lava ropa, la agua sucia la usa para el sanitario o trapear reusan jabon porque no hay mucha agua ","Es más tiempo del que le gustaría. ","si","Si. Ayer en la calle hicieron hoyo, quisieron que se sacaran de contenedor y banar. Vecinos se han pedido bote. A veces cae en una colonia y no en otra.","Vecinos y familia han ayudado.",NA
343,"2/3/2025 9:34:58 | 1/28/2026 13:03:48",NA,"Si tratan ","En bote enjuaga. Luego, la usa para el baño o lavar el patio.","Es más tiempo del que le gustaría. Si es mucho. A veces hay fila hasta las 10 pm y espera hasta 1 am y luego deja de (palabra desconocida). Llena (palabra desconocida) y todo lo que tiene.","si","Si, la mama, si el agua le da a otros que no alcanzaron. Dan un bote. A veces 2 o 3 veces a la semana.","Si, 1 o 2 veces por semana, le pasaron un bote - vecinos.",NA
344,"2/3/2025 9:40:13 | 1/28/2026 13:05:31",NA,"Si","El agua de la lavadora se reutiliza para el baño y el patio. Para ahorrar agua.","Es más tiempo del que le gustaría. 2 horas por día (madrugada). Interrumpe horas de sueño.","si","Se rolan el agua entre vecinos de la vecindad. Un bote para cada quien.","Si. Le avisan cuando cae agua, se rolan los botes de agua.",NA
345,"2/3/2025 9:48:50 | 1/28/2026 13:08:22",NA,"Si","El agua de la lluvia la utiliza para el baño. El agua de la tina del bebé la usa para el baño.","Es más tiempo del que le gustaría. Es mucho tiempo.","si","De vez en cuando sus vecinos le piden cubetas con agua.","Si. La ayudan con la pipa y le pagan para que llene botes a los de la pipa. | Si. La ayudan con la pipa y le pagan para que llene botes (a los de la pipa).",NA
346,"2/24/2025 8:35:26 | 1/28/2026 13:09:28",NA,"Si","Lava ropa luego baño o patio. Hace esto para que le alcance. Si no no les alcanza.","Le parece poco el tiempo. Le parece bien.","no","En colonia, mandar mensaje pidiendo de la pipa, comparten c/ vecinos, pides y regale una cubeta 1 o 2 x semana.","Sí, vecinos de pipa.",NA
347,"2/24/2025 8:43:06 | 1/28/2026 13:11:01",NA,"Si","El agua que sobra al lavar la utiliza para el baño o para lavar patios.","Es más tiempo del que le gustaría. Le quita horas de sueño. 3 horas de madrugada.","si","Si. Le piden botes de agua. | Si le piden botes de agua.","Si. Te han pasado agua en botes / no dan más de 2 botes. | Si le han pasado agua en botes, no dan más de 2 botes.",NA
348,"2/24/2025 8:45:37 | 1/28/2026 13:12:47",NA,"Si ","Lo hace porque se usa para el baño y la del tinaco se usa para lavar trastes y para (palabra desconocida). Reciclo el agua con la que lava la ropa. ","Es más tiempo del que le gustaría. ","si","No he tenido que ayudar a alguien. | No a tenido que ayudar a alguien.","No me han ayudado. | No le han ayudado.",NA
349,"2/24/2025 8:48:51 | 1/28/2026 13:15:48",NA,"Si","Se bañan luego limpia el piso del baño. Agua que sale sucia se usa para trapear. Ella hace todo en la casa.","Es más tiempo del que le gustaría. Tiene que esperar, pero lo usa en otra actividad.","si","vecina - hace mas de 1 ano. No es frecuente. | Vecina hace más de un año. No es frecuente. ","hace tiempo si, persona cerca tenia un pozo. | Hace tiempo sí, persona, cerca tenía un pozo. ",NA
350,"2/24/2025 8:51:08 | 1/28/2026 12:48:40",NA,"si","el agua de la lavadora se utiliza para el w.c, lavar patio, y la calle. porque no hay agua a veces, la reusan y ahorran","es mas tiempo del le gustaria","si","Si, he tenido que pasar agua a mis vecinos.","No me han ayudado.",NA
351,"2/24/2025 8:53:42 | 1/28/2026 12:50:14",NA,"si","lavar ropa -> baño y patio","""bien, son parejos""","no","en ocasiones, regalan una o 2 cubeta sino tienen tinaco o cisterna.","si, al conseguir pipa - le comparten.",NA
352,"2/24/2025 8:55:07 | 1/28/2026 12:51:07",NA,"si","agua de lavar ropa -> baño y lavar el patio","poco, le parece bien","a bit","Hace un ano pedimos pipa para nosotros y para los vecinos.","No ninguna vez.",NA
353,"2/24/2025 8:56:26 | 1/28/2026 12:53:08",NA,"si","agua de lavar ropa -> baño. ahorran por que es poca agua el que cae sobre todo el fin de semana","es mas tiempo del le gustaria","si","No he ayudado.","Si a veces nos hemos tenido que ir a banar con familiares.","19) dice que ""como somos muchas personas en la vecinidad tenemos que invertir mucho tiempo"""
354,"2/24/2025 9:02:46 | 1/28/2026 12:58:18",NA,"si","solo lavadora -> lavar patio y baño. cuando llueve ponen un bote","""no lleva mucho tiempo...""","no????","Si, en previa casa, a vecinos → lavaban su ropa.","Si, tambien antes vecino tenia cisterna y tinaco.","pregunta 19 tiene una palabra que no se puede leer bien"
355,"2/24/2025 9:06:43 | 1/28/2026 12:59:39",NA,"cuando les falta","lavadora -> patio. suavitel -> piso, sanitario. bañarse -> sanitario","poco, le parece bien","a bit","No","no. solo del gobierno, tinaco publico gigante.",NA
356,"2/24/2025 9:09:01 | 1/28/2026 13:01:34",NA,"solo cuando lava","cuando lava, usa la agua para lavar el patio (solo cuando lava) porque normalmente utilizan agua de la llave para el patio","poco, le parece bien","a bit","Hace 6 anos que fue a pedir la pipa, le pasaron a un vecino, agua del tinaco.","No",NA
357,"2/24/2025 9:12:42 | 1/28/2026 13:03:52",NA,"no","esta al pendiente que no se tire el agua","poco, le parece bien","a bit","Mama vive a 2 casas, pero no tiene tinaco (Le quite poquito del tinaco). Se lleva cubeta. Si no hay que ir lavan ropa.","Suegra, se iban a banar. Tiene cisterna, y tinaco. Nunca le ha faltado, por almacenamiento gigante. Pero su colonia si se acabo el agua.","pregunta 14 tiene muchas palabras que no puedo leer bien. dice muchas cosas"
358,"2/24/2025 9:16:19 | 1/28/2026 13:05:18",NA,"si","lava ropa -> patio y baño. si no sale muy sucia -> trapear. si no lo hacen, no alcanza","es mas tiempo del le gustaria","si","Pasar agua en su casa porque esta mas baja → llega + agua. Hace unos 3 anos que vecinos mas arriba. Van con sus botes y se forman → vecinos pipa.","no. Solo dependen de pipa.",NA
359,"2/24/2025 9:20:56 | 1/28/2026 13:06:24",NA,"si","el agua de la lavadora se reutiliza para lavar el patio, para que no se desperdicie el agua limpia.","poco, le parece bien","a bit","No ","No ",NA
360,"2/24/2025 9:23:20 | 2/24/2025 9:24:33 | 1/28/2026 13:08:31",NA,"si","lava 2 veces con agua o enjuaga ropa. ","poco, le parece bien","a bit","No  | Si. Se descompuso algo y no tenian agua - vecina - ella se llevo una cubeta.","No ","pregunta 14 tiene muchas palabras que no se entienden. "
361,"2/5/2025 9:03:07 | 1/28/2026 12:21:15",NA,"si","reciclar. lluvia -> tina o botes -> baño. cae del techo. lo hacen para ahorrar","poco, le parece bien","a bit","No","No",NA
362,"2/5/2025 9:07:20 | 1/28/2026 12:22:57",NA,"si","lavadora -> baño. bañarte a jicaragos -> tina -> baño o lavar baño. para no tirarla","poco, le parece bien","a bit","No","No","no se bien que dice esa palabra en pregunta 14. ""jicoragos"" ?"
363,"2/5/2025 9:17:43 | 1/28/2026 12:25:34",NA,"si","captan agua de lluvia. cuando lavan ropa, reutilizan agua para el baño o el piso. tambien reutiliza agua de las verduras y frutas. para no consumir tanta agua limpia y tambien no les seria suficiente","es mas tiempo del le gustaria","si","Si, su vecina no ha tenido agua y la dejaron lavar sus trastes.","No",NA
364,"2/5/2025 9:29:50 | 1/28/2026 12:29:22",NA,"no","solo cuando lava -> lava perro y patio. desperdiciar menos. no xq no les falta van a ahorrar.","es mas tiempo del le gustaria","si","Si, hace unos 20 anos quedaron sin agua. Se pudieron a esto unos botes. Tambien han dejado el bano 2 veces.","No, porque no les falta, excepto vez de le piden.",NA
365,"2/5/2025 9:35:35 | 1/28/2026 12:30:39",NA,"si","lluvia -> plantas. lavadora -> baño y lavar patio. para que no se tire. lo hacen para ahorrar agua","poco, les parece bien","no","Si, familiar. Iban a lavar traste y normal. 2 por ano.","No. No ha hecho falta.",NA
366,"2/5/2025 9:44:16 | 1/28/2026 12:33:11",NA,"si","sube cubeta pequeña -> tratan -> enjuaga -> recolecta en tina -> patio, baño, ropa, perritos. juntan agua de lluvia. ahorrar xq se esta acabando.","es mas tiempo del le gustaria","si","Si, porque el tambo para llenar popo y no le llego a ellos, pero a ella si. Llenaban 15 dias sin agua, compartieron popo. E injusto que unos tengan y otros no.","Vecina y contactos en delegacion - pipa.",NA
367,"2/5/2025 9:46:59 | 1/28/2026 12:34:29",NA,"no","a veces lavan ropa -> reusan agua con suavitel. para aprovechar el agua","poco, le parece bien","no","No","No","19) dice que no les molesta hacer el trabajo"
368,"2/24/2025 9:40:16 | 1/28/2026 12:35:42",NA,"si","lavadora -> patio. ahorrar agua para que no tengan que desperdiciar y tambien aprovechar jabon","es mas tiempo del le gustaria","si","No. Lavan ropa. Mucho tiempo atras, 2 o 3 veces en la vida.","No",NA
369,"2/24/2025 9:41:40 | 1/28/2026 12:36:38",NA,"no","solo cuando sucia -> patio. no reciclan","poco, le parece bien","a bit","Si, a veces vecinas se quedan sin agua y no se dan cuenta, y piden de mi. Les paso bote.","No ",NA
370,"2/24/2025 9:45:12 | 1/28/2026 12:38:31",NA,"si","se acostumbraron. agua de los trastes -> sanitario. lavar ropa -> plantas, sanitario, o trapear. lo hacen mas cuando les falta pero tambien en otros momentos","poco, le parece bien","a bit","Si, le ha tocado dejar papa de hijos banarse. Le falta mas el agua. Tiene solo tambos, no cisternas. Le faltaba hace por agua, botes o garrafones. Vive en lo alto. Vive a 1 o 2 veces al ano.","Si, hermano y papa de hijos o fam mas lejanos les dejan lavar, banarse. 1 o 2 veces al ano si.",NA
371,"2/24/2025 15:26:11 | 1/28/2026 12:40:19",NA,"si","lavadora -> piso. bañarse -> w.c. para que les alcanze y xq un dia no vamos a tener","es mas tiempo del le gustaria","si","No","Si. casa de papa hace sistema lavar ropa .","19) dice que le gustaria abrir la llave y que salga siempre limpia"
372,"2/24/2025 15:30:24 | 1/28/2026 12:41:10",NA,"si","el agua que se utiliza para lavar la ropa se utiliza para el baño","poco, le parece bien","a bit","Si, he pasado algunas botellas de agua de la que almaceno a quien se queda sin agua.","Si. Vecinos que tienen cisterna nos han pasado agua cuando nos quedamos sin agua.",NA
373,"2/24/2025 15:33:12 | 1/28/2026 12:43:42",NA,"si","lavar ropa -> lavan patio. a veces para trapear. el baño usa del tinaco. si llueve mucho se llena el tambo. ahorran","poco, le parece bien","a bit","Si, sacan del tinaco, llevan botes, probablemente usan para lavar trastes → vecinos. Ultima vez hace 6 meses. Pero usual: no pasa.","Si. Le dejo a hermana q vive cerca. Pidio de su cisterna.",NA
374,"2/24/2025 15:35:36 | 1/28/2026 12:45:15",NA,"si","agua de la lavadora la utiliza para lavar el patio, el baño, y la calle.","es mas tiempo del le gustaria","si","No","Si, hay vecinos que nos pasan agua de sus cisternas.",NA
375,"2/24/2025 15:36:39 | 1/28/2026 12:46:20",NA,"si","lava ropa -> patio, baño. no les alcanza si no lo hicieron. ","poco, le parece bien","a bit","No","No",NA
376,"2/24/2025 15:39:05 | 1/28/2026 12:16:01",NA,"si","tenemos captador de agua y tiene filtro. esta agua se usa para lavar el patio, no para uso domestico por que no la filtra tan bien","poco, le parece bien","a bit","Si, hemos pasado agua de la que almacenamos y tambien cuando se pide la pipa, se pide en grupos de 4 familias.","Si, ellos, los vecinos de agua, se han ido a formar para pedir la pipa, tambien me han pasado del agua que almacenan.",NA
377,"2/24/2025 15:42:07 | 1/28/2026 12:17:06",NA,"no","lavar ropa -> baño (a veces). si no lo hicieron, no alcanza","poco, le parece bien","a bit","1x ano. Vecinos no hacen cisterna gigante. Banarse en casa y lavar ropa → vecinos. Hace 5 anos no tenia x semana. Pidieron pipa.","Hace muchisimo ano no habia agua - 25 anos - si no hasta quien tenia compania. Desde entonces, no.",NA
378,"2/24/2025 15:46:33 | 1/28/2026 12:18:10",NA,"si","el agua de la lavadora se usa para lavar patios y si no esta tan sucia se usa para otra lavadora de ropa","es mas tiempo del le gustaria","si","Si hemos pasado agua de la que nosotros almacenamos.","Si, nos han pasado agua de la que almacenan.",NA
379,"2/24/2025 15:48:06 | 1/28/2026 12:19:37",NA,"si","lavar ropa -> patio, baño. no juntan lluvia. ","poco, le parece bien","a bit","Si, cisterna grande → vecinos → bano y 4 al ano.","No",NA
380,"3/10/2025 15:31:21 | 1/28/2026 11:43:54",NA,"si","el agua de lluvia se utiliza para lavar el patio o regar las plantas. por que le pueden dar otro uso","poco, le parece bien","a bit","Si, he tenido q poner agua de la que almaceno.","Si, me han pasado agua de la que almacenan.",NA
381,"3/10/2025 15:42:08 | 1/28/2026 11:46:01",NA,"si","lavar ropa -> patio o calle. a veces lluvia -> bote -> lavar ropa. no la malgastan, que no se tire, nunca llenan bote al tope","es mas tiempo del le gustaria","si","Vecina - a ella no le caia, mitad de colonia no tenia. Pararon bote. Ano 1/2. 1 vez al ano.","No",NA
382,"3/10/2025 15:44:06 | 1/28/2026 11:47:42",NA,"si","agua de la lavadora y de la lluvia se usa para lavar el patio","es mas tiempo del le gustaria","si","Si, han siendo familiares o banarse cuando pedimos la pipa.","Nos han dado cubetas o botes de agua los vecinos.",NA
383,"3/10/2025 15:45:56 | 1/28/2026 11:49:32",NA,"si","agua que se queda de los vosos que no se uso se guarda para lavar. el agua de lluvia se usa para lavar el patio y para el baño. agua de lavadora se usa para lavar el patio","es mas tiempo del le gustaria","si","Si, cuando nosotros tenemos agua, conectan su manguera a nuestra llave y llenan sus tambos.","Si, nos han pasado agua para llenar algunos botes o cubetas.",NA
384,"3/12/2025 8:39:51 | 1/28/2026 11:52:30",NA,"si","agua lavadora -> piso y lavar baño. si no reciclan, no les alcanza. es mas por costumbre y porq se les acaba el agua","es mas tiempo del le gustaria","si","Han dado vecina → 2 veces total → bote. Amiga en xalpa → ella no le cae nada. Con 1/2 cisterna le alcanza 1 semana. A veces → va a lavar ropa el jueves → no tiene lavadora. Menos agua.","No. Llevaban ropa en lavanderia. No dijo nadie xq todos estaban igual.",NA
385,"3/12/2025 8:41:07 | 1/28/2026 11:53:42",NA,"si","agua de lluvia se capta para regar las plantas y para el baño. agua de lavadora se usa para lavar el patio","poco, le parece bien","a bit","Hemos ayudado a una vecina, le pasamos agua de la que almacenamos.","Si, nos han pasado agua de la que almacenan.",NA
386,"3/12/2025 8:42:22 | 1/28/2026 11:55:06",NA,"si","lavadora -> lavar patio/calle. calentador solar -> tarda en bajar caliente -> ponen cubeta -> plantas","poco, le parece bien","a bit","Si, vecinos - paran bote y 2 veces al ano.","No, ayuda de pipa - alcaldia - coopero voluntaria.",NA
387,"3/12/2025 9:17:29 | 1/28/2026 11:55:50",NA,"si","reutilizan el agua de la lavadora para el baño ","poco, le parece bien","a bit","No","No ",NA
388,"3/12/2025 9:18:53 | 1/28/2026 11:56:59",NA,"si","lavar ropa -> suavitel -> baños. regadera -> cubeta -> baño","poco, le parece bien","a bit","Si, pipas → avisar que esta el modulo y van. Vecinos → le pasan cubeta y 2 o 3 veces al ano. Casi todos tienen cisterna.","Si, le usan lo del modulo. Nada mas.",NA
389,"3/12/2025 9:20:18 | 1/28/2026 12:01:08",NA,"si","vemos que no se queden llaves abiertas, hacemos baños breves, compramos aparatos para que los w.c descargen menos agua. compramos lavadora que ahorran agua. al lavar trastes tambien ahorramos agua.","poco, les parece bien","a bit"," En alguna ocasion compramos una pipa ($1200 - $1800) y de ahi pasamos agua a vecinos.","En el ano pasado los vecinos nos pasaron agua de la que almacenan.",NA
390,"3/16/2025 16:18:24 | 1/28/2026 11:30:04",NA,"si, cuando no cae","lavar verdura -> baño. lavar ropa -> tina -> baño. solo lo hacen cuando falta para que alcanze","poco, le parece bien","a bit","No","Les han pasado - vecina - botes y 2 veces al ano.",NA
391,"3/16/2025 16:33:48 | 1/28/2026 11:31:21",NA,"si","el agua con la que nos bañamos la reutalizan para el baño. agua de lavadora se usa para lavar el patio y para el baño","poco, le parece bien","a bit","No ","Si, me han pasado agua en botes con su manguera.",NA
392,"3/16/2025 16:36:54 | 1/28/2026 11:31:53",NA,"no",NA,"poco, le parece bien","a bit","Si, les he dejado que agarren agua de mi casa.","No ",NA
