,SampleID,CatA,CatJ,CatL,Match,Consensus
281,380,somewhat,no,no,different,
286,385,somewhat,no,no,different,
287,386,somewhat,no,no,different,
288,387,somewhat,no,no,different,
289,388,somewhat,no,no,different,
290,389,somewhat,no,no,different,
291,390,somewhat,no,no,different,
292,391,somewhat,no,no,different,
293,392,somewhat,no,no,different,
294,393,somewhat,no,no,different,
296,395,somewhat,no,no,different,
298,397,somewhat,no,no,different,
299,398,somewhat,no,no,different,
302,401,somewhat,no,no,different,
305,404,somewhat,no,no,different,
306,405,somewhat,no,no,different,
307,406,somewhat,no,no,different,
309,408,somewhat,no,no,different,
313,412,somewhat,no,no,different,
314,413,somewhat,no,no,different,
315,414,somewhat,no,no,different,
319,418,somewhat,no,no,different,
321,420,somewhat,no,no,different,
322,421,somewhat,no,no,different,
323,422,somewhat,no,no,different,
325,424,somewhat,no,no,different,
326,425,somewhat,no,no,different,
327,426,somewhat,no,no,different,
329,428,somewhat,no,no,different,
330,429,somewhat,no,no,different,
332,431,somewhat,no,no,different,
333,432,somewhat,no,no,different,
336,435,somewhat,no,no,different,
344,443,somewhat,no,no,different,
346,445,somewhat,no,no,different,
347,446,somewhat,no,no,different,
349,448,somewhat,no,no,different,
352,451,somewhat,no,no,different,
354,453,somewhat,no,no,different,
355,454,somewhat,no,no,different,
362,461,somewhat,no,no,different,
363,462,somewhat,no,no,different,
364,463,somewhat,no,no,different,
365,464,somewhat,no,no,different,
367,466,somewhat,no,no,different,
368,467,somewhat,no,no,different,
370,469,somewhat,no,no,different,
371,470,somewhat,no,no,different,
373,472,somewhat,no,no,different,
374,473,somewhat,no,no,different,
375,474,somewhat,no,no,different,
376,475,somewhat,no,no,different,
377,476,somewhat,no,no,different,
378,477,somewhat,no,no,different,
381,480,somewhat,no,no,different,
382,481,somewhat,no,no,different,
383,482,somewhat,no,no,different,
384,483,somewhat,no,no,different,
385,484,somewhat,no,no,different,
387,486,somewhat,no,no,different,
388,487,somewhat,no,no,different,
389,488,somewhat,no,no,different,
390,489,somewhat,no,no,different,
392,491,somewhat,no,no,different,
393,492,somewhat,no,no,different,
394,493,somewhat,no,no,different,
395,494,somewhat,no,no,different,
396,495,somewhat,no,no,different,
397,496,somewhat,no,no,different,
398,497,somewhat,no,no,different,
301,400,somewhat,no,other,different,
334,433,somewhat,no,other,different,
348,447,somewhat,no,other,different,
369,468,somewhat,no,other,different,
13,14,somewhat,no,somewhat,different,somewhat
99,100,somewhat,no,somewhat,different,somewhat
320,419,somewhat,no,somewhat,different,somewhat
341,440,somewhat,no,somewhat,different,somewhat
360,459,somewhat ,no,no,different,
137,139,yes,yes,no,different,
342,441,yes,yes,other,different,
1,2,no,no,no,match,no
3,4,no,no,no,match,no
4,5,no,no,no,match,no
7,8,no,no,no,match,no
9,10,no,no,no,match,no
10,11,no,no,no,match,no
11,12,no,no,no,match,no
12,13,no,no,no,match,no
14,15,no,no,no,match,no
17,18,no,no,no,match,no
20,21,no,no,no,match,no
24,25,no,no,no,match,no
26,27,no,no,no,match,no
30,31,no,no,no,match,no
33,34,no,no,no,match,no
35,36,no,no,no,match,no
37,38,no,no,no,match,no
40,41,no,no,no,match,no
41,42,no,no,no,match,no
43,44,no,no,no,match,no
44,45,no,no,no,match,no
46,47,no,no,no,match,no
47,48,no,no,no,match,no
48,49,no,no,no,match,no
49,50,no,no,no,match,no
50,51,no,no,no,match,no
53,54,no,no,no,match,no
55,56,no,no,no,match,no
56,57,no,no,no,match,no
58,59,no,no,no,match,no
59,60,no,no,no,match,no
60,61,no,no,no,match,no
63,64,no,no,no,match,no
70,71,no,no,no,match,no
71,72,no,no,no,match,no
74,75,no,no,no,match,no
75,76,no,no,no,match,no
76,77,no,no,no,match,no
77,78,no,no,no,match,no
78,79,no,no,no,match,no
79,80,no,no,no,match,no
80,81,no,no,no,match,no
81,82,no,no,no,match,no
84,85,no,no,no,match,no
88,89,no,no,no,match,no
92,93,no,no,no,match,no
93,94,no,no,no,match,no
95,96,no,no,no,match,no
96,97,no,no,no,match,no
97,98,no,no,no,match,no
98,99,no,no,no,match,no
106,107,no,no,no,match,no
111,112,no,no,no,match,no
112,113,no,no,no,match,no
113,114,no,no,no,match,no
120,121,no,no,no,match,no
121,123,no,no,no,match,no
122,124,no,no,no,match,no
124,126,no,no,no,match,no
125,127,no,no,no,match,no
129,131,no,no,no,match,no
130,132,no,no,no,match,no
132,134,no,no,no,match,no
133,135,no,no,no,match,no
134,136,no,no,no,match,no
135,137,no,no,no,match,no
138,140,no,no,no,match,no
139,141,no,no,no,match,no
141,143,no,no,no,match,no
143,145,no,no,no,match,no
144,146,no,no,no,match,no
146,148,no,no,no,match,no
147,149,no,no,no,match,no
148,150,no,no,no,match,no
151,153,no,no,no,match,no
153,155,no,no,no,match,no
154,156,no,no,no,match,no
156,158,no,no,no,match,no
157,159,no,no,no,match,no
158,160,no,no,no,match,no
159,161,no,no,no,match,no
161,163,no,no,no,match,no
162,165,no,no,no,match,no
166,169,no,no,no,match,no
168,171,no,no,no,match,no
173,176,no,no,no,match,no
175,178,no,no,no,match,no
177,180,no,no,no,match,no
180,183,no,no,no,match,no
184,187,no,no,no,match,no
185,188,no,no,no,match,no
186,189,no,no,no,match,no
