"ID","variable","raw_value","current_value","issue","scoring_hint","consensus"
352,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
352,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
352,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
352,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
354,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
354,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
354,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
354,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
354,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
354,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
355,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
355,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
355,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
355,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
355,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
356,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
356,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
356,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
356,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
356,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
357,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
357,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
357,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
357,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
357,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
358,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
358,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
358,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
358,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
358,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
358,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
360,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
360,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
360,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
360,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
360,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
360,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
362,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
371,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
387,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
395,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
397,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
411,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
417,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
470,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
