"Folio","WS.WI","Total_Hwise","Preocupacion","Interrupcion","Ropa","Planes","Alimentos","Manos","Cuerpo","Bebida","Enojo","Suenio","Ninguno","Verguenza","Season"
363,"WS",18,2,2,1,2,1,1,2,2,1,2,2,0,"Apr-Jun"
364,"WS",NA,0,2,2,0,NA,0,0,0,2,0,0,0,"Apr-Jun"
365,"WS",1,0,0,0,0,0,0,0,1,0,0,0,0,"Apr-Jun"
366,"WS",11,3,3,3,0,0,0,0,1,1,0,0,0,"Apr-Jun"
367,"WS",8,1,2,1,1,0,0,0,1,1,0,1,0,"Apr-Jun"
368,"WS",13,2,1,0,0,0,3,3,1,1,1,1,0,"Apr-Jun"
369,"WS",10,2,2,1,2,0,1,0,1,1,0,0,0,"Apr-Jun"
370,"WS",6,1,1,1,1,0,0,1,0,1,0,0,0,"Apr-Jun"
371,"WS",17,2,3,2,2,2,1,1,2,2,0,0,0,"Apr-Jun"
372,"WI",6,1,1,0,0,1,0,0,1,1,1,0,0,"Apr-Jun"
373,"WI",17,2,2,1,1,1,1,1,1,1,2,2,2,"Apr-Jun"
374,"WI",9,1,1,2,0,0,1,1,0,3,0,0,0,"Apr-Jun"
375,"WI",11,2,1,1,1,1,1,1,1,2,0,0,0,"Apr-Jun"
376,"WI",9,1,1,2,0,0,0,2,0,1,0,1,1,"Apr-Jun"
377,"WI",5,0,2,0,3,0,0,0,0,0,0,0,0,"Apr-Jun"
378,"WI",15,2,2,2,1,0,0,2,1,2,1,2,0,"Apr-Jun"
380,"WI",13,1,2,2,2,0,0,0,1,2,1,2,0,"Apr-Jun"
381,"WI",9,2,1,1,0,0,0,1,1,1,1,1,0,"Apr-Jun"
382,"WI",11,2,1,2,2,0,0,1,0,2,0,1,0,"Apr-Jun"
383,"WI",7,0,2,1,2,0,0,0,0,1,0,0,1,"Apr-Jun"
384,"WI",12,2,1,1,1,1,0,1,1,2,1,0,1,"Apr-Jun"
385,"WI",12,2,3,2,0,0,0,2,1,1,0,1,0,"Apr-Jun"
386,"WI",3,1,0,0,1,0,0,0,0,1,0,0,0,"Apr-Jun"
387,"WI",5,0,1,1,0,0,0,0,1,1,1,0,0,"Apr-Jun"
388,"WI",9,2,3,2,2,0,0,0,0,0,0,0,0,"Apr-Jun"
389,"WI",2,0,1,0,1,0,0,0,0,0,0,0,0,"Apr-Jun"
390,"WI",5,1,1,1,1,0,0,0,0,0,0,0,1,"Apr-Jun"
391,"WI",8,1,1,2,1,0,0,2,0,1,0,0,0,"Apr-Jun"
392,"WI",1,0,0,1,0,0,0,0,0,0,0,0,0,"Apr-Jun"
393,"WI",19,2,2,2,1,1,1,2,2,1,2,1,2,"Apr-Jun"
394,"WI",14,1,3,2,1,1,0,2,1,1,1,1,0,"Apr-Jun"
395,"WI",7,0,1,2,1,0,0,0,1,1,1,0,0,"Apr-Jun"
396,"WI",11,2,1,0,0,1,0,3,1,3,0,0,0,"Apr-Jun"
397,"WI",7,2,1,2,0,0,0,0,0,2,0,0,0,"Apr-Jun"
398,"WI",3,0,1,0,0,0,0,0,0,1,0,1,0,"Apr-Jun"
399,"WI",19,2,2,3,2,1,1,2,1,2,1,1,1,"Apr-Jun"
400,"WI",11,1,2,1,2,0,0,2,1,2,0,0,0,"Apr-Jun"
401,"WI",10,1,2,2,1,0,0,1,1,1,0,1,0,"Apr-Jun"
402,"WI",10,2,1,1,1,0,0,1,1,1,1,1,0,"Apr-Jun"
403,"WI",3,0,0,0,3,0,0,0,0,0,0,0,0,"Apr-Jun"
404,"WI",7,1,1,0,0,0,0,1,0,1,0,3,0,"Apr-Jun"
405,"WI",6,1,2,2,0,0,0,0,0,1,0,0,0,"Apr-Jun"
406,"WS",13,2,2,2,1,1,1,2,0,1,0,1,0,"Apr-Jun"
407,"WS",10,0,1,1,0,0,1,1,2,1,2,1,0,"Apr-Jun"
408,"WS",4,0,0,0,1,0,0,1,0,1,0,1,0,"Apr-Jun"
409,"WS",9,1,1,2,2,0,0,1,0,1,0,1,0,"Apr-Jun"
410,"WS",12,3,2,2,1,0,0,1,0,2,0,1,0,"Apr-Jun"
411,"WS",17,3,3,2,2,1,0,1,0,2,0,2,1,"Apr-Jun"
412,"WS",10,3,3,0,0,0,0,2,0,1,0,1,0,"Apr-Jun"
413,"WS",3,0,1,0,0,0,0,0,1,0,0,1,0,"Apr-Jun"
414,"WS",1,1,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
415,"WS",18,2,3,2,2,2,1,1,0,2,0,3,0,"Apr-Jun"
416,"WS",20,2,2,1,3,2,2,1,3,1,0,2,1,"Apr-Jun"
417,"WS",16,2,2,2,2,1,0,0,2,2,2,1,0,"Apr-Jun"
418,"WI",5,1,0,1,1,0,0,1,0,1,0,0,0,"Apr-Jun"
419,"WI",2,0,0,0,0,0,0,0,1,1,0,0,0,"Apr-Jun"
420,"WI",11,2,2,1,0,0,0,1,0,2,1,2,0,"Apr-Jun"
421,"WI",15,1,2,1,2,1,0,1,1,2,1,3,0,"Apr-Jun"
422,"WI",1,0,0,0,0,0,0,0,0,0,1,0,0,"Apr-Jun"
423,"WI",17,2,2,2,1,0,2,2,1,2,1,2,0,"Apr-Jun"
424,"WI",10,2,2,1,0,0,1,2,0,2,0,0,0,"Apr-Jun"
