Folio,Hours_per_week,Supply,PSS,Water_Worry,Hygiene
484,168,Intermitente,1,1,1
485,126,Intermitente,-7,2,3
486,168,Intermitente,-2,4,4
487,168,Continua,-2,5,4
488,168,Intermitente,0,0,0
489,168,Continua,-2,0,3
490,N/A,Intermitente,-7,3,4
491,70,Intermitente,-4,4,3
492,N/A,Intermitente,-4,2,0
493,168,Continua,-6,0,1
494,98,Intermitente,-5,1,1
495,N/A,Intermitente,-5,1,0
496,168,Intermitente,NA,2,0
497,35,Intermitente,-9,3,3
