ID,variable,raw_value,current_value,issue,scoring_hint,consensus
302,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,999
312,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,999
346,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
346,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
346,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
346,SES_WRK_SC,NA,NA,Missing / not entered,,61
346,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
347,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
347,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,18
347,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
347,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
347,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
348,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
348,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
348,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
348,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,15
348,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,6
349,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
349,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
349,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
349,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
349,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,17
350,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
350,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
350,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
350,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
350,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
351,SES_EDU_SC_CLEAN,NA,NA,Missing / not entered,"0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",23
351,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
351,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
351,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
351,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
351,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
352,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
352,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
352,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
352,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,31
352,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,6
354,SES_EDU_SC_CLEAN,NA,NA,Missing / not entered,"0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",73
354,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
354,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
354,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,31
354,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,15
354,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,6
