ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
71,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,0,0,0,0,,3,2,3,3,3,4,2,2,2,2,3,3,3,2,N/A,
72,Oct-Dec,WS,NA,0,0,0,0,0,0,0,1,1,0,0,0,8 (bebida)--porque no se pidio el garaffon,0,1,2,2,1,1,3,1,3,3,1,1,1,2,N/A,
73,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,Enojo-vecinos que usaban mucha agua,3,2,4,2,2,2,2,3,2,1,2,2,3,4,N/A,
74,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,4,2,2,4,2,2,2,0,2,4,2,1,N/A,
75,Oct-Dec,WI,NA,1,1,1,1,1,0,0,0,2,0,1,0,,4,3,4,3,2,2,2,2,2,2,3,3,2,3,N/A,
76,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,4,3,3,3,1,3,3,1,1,4,1,N/A,
77,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,8– se le a cabe garrafon-can a tienda x galoncitos de agua—marca,3,2,4,3,3,4,2,2,2,2,3,4,3,1,N/A,
78,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,4,2,3,4,4,2,3,2,2,2,4,2,N/A,
79,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,4,4,4,4,0,4,3,3,4,3,1,N/A,
80,Oct-Dec,WS,NA,1,0,0,0,0,0,0,0,0,0,0,0,7) Cuerpo: A veces se les acaban garrafones --> caro. Se compran garrafon mas pequenio--scarch--> mas barata,4,1,4,3,3,4,3,3,3,3,2,4,2,1,N/A,"1. Aplican a universidad-noviembre empezo clases
11. triste"
